Date,Open,High,Low,Close,Volume,Adj Close
2008-03-07,746.50,763.70,725.00,751.30,1566100,365.407
2008-03-05,775.00,775.00,741.00,750.20,495600,364.872
2008-03-04,788.00,799.90,752.50,769.00,681200,374.015
2008-03-03,839.00,839.00,781.00,790.55,584500,384.496
2008-02-29,840.00,840.00,801.80,825.60,745800,401.544
2008-02-28,841.65,848.00,833.00,844.45,143300,410.712
2008-02-27,843.50,857.00,836.00,841.65,511100,409.35
2008-02-26,863.00,863.00,832.00,838.80,680700,407.964
2008-02-25,872.00,874.75,834.90,850.55,434200,413.678
2008-02-22,860.05,865.00,847.00,850.30,347500,413.557
2008-02-21,870.00,883.00,853.00,868.50,281000,422.409
2008-02-20,880.00,885.00,860.00,867.00,597800,421.679
2008-02-19,883.00,892.50,875.00,887.60,293300,431.698
2008-02-18,890.40,890.40,865.00,880.50,365500,428.245
2008-02-15,860.00,889.00,858.00,881.60,361000,428.78
2008-02-14,879.90,897.00,867.15,877.95,318600,427.005
2008-02-13,860.15,880.00,820.00,857.70,453300,417.156
2008-02-12,865.00,869.00,850.00,855.80,332800,416.232
2008-02-11,850.00,889.95,825.00,848.95,1074300,412.90
2008-02-08,870.00,889.90,850.00,882.05,451000,428.999
2008-02-07,920.00,924.40,853.20,862.55,685700,419.515
2008-02-06,890.00,904.85,858.20,900.40,793100,437.924
2008-02-05,927.10,945.80,901.00,935.95,899900,455.214
2008-02-04,920.00,940.30,905.00,922.65,652100,448.745
2008-02-01,870.10,921.00,858.10,907.75,586200,441.498
2008-01-31,855.00,897.00,853.00,864.45,1270400,420.439
2008-01-30,874.00,874.00,846.00,852.30,1025700,414.53
2008-01-29,883.80,884.90,842.50,850.40,3074900,413.605
2008-01-28,890.00,890.00,845.00,869.70,642000,422.992
2008-01-25,852.00,922.05,852.00,914.60,840500,444.83
2008-01-24,865.00,868.40,835.00,850.00,3343400,413.411
2008-01-23,850.00,884.90,815.00,846.75,1226900,411.83
2008-01-22,800.00,870.00,700.00,849.30,1119300,413.07
2008-01-21,870.00,875.00,805.00,828.25,1049700,402.832
2008-01-18,870.00,890.00,852.00,873.90,2072400,425.035
2008-01-17,869.00,895.25,846.20,871.80,923800,424.014
2008-01-16,862.00,876.00,820.00,864.85,1889300,420.633
2008-01-15,912.00,918.90,845.90,857.30,2852600,416.961
2008-01-14,970.00,970.00,903.05,907.30,2140000,441.28
2008-01-11,965.00,982.00,936.10,965.75,1205700,469.708
2008-01-10,976.00,984.80,950.00,965.95,594500,469.805
2008-01-09,981.00,984.90,955.00,972.55,523200,473.015
2008-01-08,947.05,978.40,947.05,974.15,841200,473.793
2008-01-07,955.00,955.00,925.00,936.60,485300,455.53
2008-01-04,954.80,959.50,942.00,948.25,416500,461.196
2008-01-03,970.00,970.00,940.20,949.15,884700,461.634
2008-01-02,971.00,979.80,951.40,966.80,342100,470.218
2008-01-01,1010.00,1010.00,964.00,967.55,397400,470.583
2007-12-31,980.00,1027.00,971.00,994.55,793900,483.715
2007-12-28,968.00,973.00,934.00,940.70,654700,457.524
2007-12-27,993.00,994.90,950.50,966.30,542300,469.975
2007-12-26,960.00,990.00,953.00,982.55,712900,477.879
2007-12-24,927.00,980.00,923.30,970.15,1852800,471.848
2007-12-20,900.00,925.00,900.00,914.60,322100,444.83
2007-12-19,915.00,924.45,901.50,907.10,685600,441.182
2007-12-18,906.00,930.00,900.50,910.55,334800,442.86
2007-12-17,944.00,950.00,894.00,904.75,1444200,440.039
2007-12-14,980.00,987.80,948.10,952.55,870600,463.288
2007-12-13,1063.00,1063.00,982.05,987.80,1411400,480.432
2007-12-12,1020.00,1060.00,1006.00,1053.50,552900,512.386
2007-12-11,984.00,1041.90,978.15,1030.70,1252700,501.297
2007-12-10,979.80,984.95,961.75,970.45,589200,471.994
2007-12-07,946.00,995.50,946.00,959.65,1402000,466.741
2007-12-06,925.00,953.00,919.50,939.90,995600,457.135
2007-12-05,920.00,925.00,910.00,918.80,1021600,446.873
2007-12-04,935.00,950.00,913.00,916.95,296100,445.973
2007-12-03,950.00,951.00,917.05,924.30,339900,449.548
2007-11-30,928.00,948.00,915.00,939.45,314600,456.916
2007-11-29,920.05,931.00,900.00,915.65,318000,445.341
2007-11-28,925.00,934.90,907.00,910.00,820000,442.593
2007-11-27,945.30,952.00,912.55,916.50,432500,445.754
2007-11-26,974.30,974.30,924.90,948.00,605300,461.075
2007-11-23,908.00,926.85,908.00,913.45,314600,444.271
2007-11-22,910.00,925.00,860.00,906.90,946800,441.085
2007-11-21,905.00,917.70,880.50,898.75,1919500,437.121
2007-11-20,899.00,911.05,889.00,902.65,511900,439.018
2007-11-19,925.00,930.00,901.10,906.55,217300,440.915
2007-11-16,894.00,918.00,886.60,911.60,1146000,443.371
2007-11-15,869.90,922.00,869.90,900.10,2207800,437.778
2007-11-14,850.00,889.00,845.55,859.65,1988500,418.104
2007-11-13,840.00,860.00,828.50,833.10,2418600,405.191
2007-11-12,860.00,863.25,828.90,833.25,5969600,405.264
2007-11-09,884.35,915.00,859.00,870.60,1870100,423.43
2007-11-08,880.25,895.00,851.05,884.35,1943100,430.118
2007-11-07,925.00,934.00,888.00,900.25,976700,437.851
2007-11-06,952.00,962.00,908.00,918.45,681100,446.703
2007-11-05,900.00,952.00,876.95,942.20,1224600,458.254
2007-11-02,920.50,934.25,865.00,894.85,3183400,435.224
2007-11-01,1020.00,1025.00,928.00,942.95,1882700,458.619
2007-10-31,1019.00,1031.90,995.00,1006.60,995100,489.576
2007-10-30,1009.00,1025.00,983.10,999.75,780800,486.244
2007-10-29,1005.00,1021.00,989.00,994.65,903900,483.764
2007-10-26,1025.00,1044.90,988.10,993.45,757600,483.18
2007-10-25,1000.00,1029.80,992.20,1019.90,1943600,496.044
2007-10-24,1014.30,1038.90,977.50,986.30,2730300,479.703
2007-10-23,943.70,1032.00,943.70,1005.35,2017700,488.968
2007-10-22,960.00,964.75,909.00,927.65,1517300,451.177
2007-10-19,1030.00,1030.00,937.15,968.45,2984700,471.021
2007-10-18,1110.00,1110.00,996.00,1019.40,1598400,495.801
2007-10-17,1039.00,1125.00,985.00,1104.05,2814400,536.972
2007-10-16,1130.00,1140.00,1090.25,1109.80,638700,539.769
2007-10-15,1075.00,1139.70,1075.00,1126.75,435100,548.013
2007-10-12,1079.00,1108.20,1058.00,1069.25,538900,520.047
2007-10-11,1085.00,1106.00,1055.00,1096.10,2463000,533.105
2007-10-10,1062.00,1149.00,1055.00,1071.95,2905500,521.36
2007-10-09,981.00,1050.90,970.00,1040.30,1076400,505.966
2007-10-08,1015.00,1025.00,970.00,984.80,775600,478.973
2007-10-05,975.00,1015.00,950.00,993.05,1038900,482.985
2007-10-04,960.00,1000.10,953.00,961.15,594700,467.47
2007-10-03,901.15,979.00,901.15,968.90,420100,471.24
2007-10-01,955.00,962.00,933.00,942.30,328600,458.302
2007-09-28,955.10,965.00,935.00,941.20,366700,457.767
2007-09-27,968.00,985.00,945.00,960.40,360700,467.106
2007-09-26,970.00,973.90,953.50,958.00,556100,465.938
2007-09-25,950.00,974.95,940.25,964.80,619300,469.246
2007-09-24,948.00,952.00,928.00,944.85,766100,459.543
2007-09-21,894.00,924.00,891.00,918.35,457500,446.654
2007-09-20,890.00,909.25,881.05,890.90,456900,433.303
2007-09-19,850.00,894.00,850.00,886.30,586200,431.066
2007-09-18,850.00,850.00,813.00,832.50,305000,404.899
2007-09-17,838.00,838.00,808.00,814.25,513600,396.023
2007-09-14,843.95,850.00,828.00,830.85,318700,404.097
2007-09-13,844.00,848.80,835.10,838.55,453000,407.842
2007-09-12,850.00,854.25,838.00,841.20,306800,409.131
2007-09-11,855.00,858.70,833.00,845.85,290300,411.392
2007-09-10,840.00,859.50,828.00,851.20,217200,413.995
2007-09-07,850.00,852.00,840.10,847.55,498300,412.219
2007-09-06,842.00,853.00,840.00,847.05,317400,411.976
2007-09-05,865.00,873.65,842.00,849.00,590500,412.925
2007-09-04,870.50,874.75,856.00,859.35,219600,417.958
2007-09-03,882.00,882.00,862.10,871.45,466300,423.843
2007-08-31,882.10,887.00,872.30,879.90,429300,427.953
2007-08-30,884.00,890.00,868.00,878.80,269300,427.418
2007-08-29,831.00,883.00,805.00,879.70,326300,427.856
2007-08-28,878.00,879.50,867.00,874.95,195400,425.546
2007-08-27,866.05,881.90,866.05,877.10,282800,426.591
2007-08-24,858.00,871.80,848.00,866.05,490700,421.217
2007-08-23,853.00,869.00,843.10,850.45,445700,413.63
2007-08-22,816.75,849.95,811.25,847.65,388600,412.268
2007-08-21,831.00,838.65,803.25,813.20,523400,395.513
2007-08-20,819.00,840.00,816.00,827.05,281700,402.249
2007-08-17,788.00,807.00,750.20,794.50,1383000,386.418
2007-08-16,830.00,830.00,795.50,800.85,954800,389.506
2007-08-14,854.00,865.00,843.00,857.75,139200,417.18
2007-08-13,843.95,856.90,835.60,852.20,241500,414.481
2007-08-10,840.00,851.90,827.00,838.80,768600,407.964
2007-08-09,892.00,903.45,865.00,869.40,334700,422.846
2007-08-08,883.00,890.50,877.70,885.80,203000,430.823
2007-08-07,871.00,881.00,870.00,876.00,189400,426.056
2007-08-06,862.00,875.00,850.00,861.15,458300,418.834
2007-08-03,877.00,887.20,866.15,872.20,180900,424.208
2007-08-02,874.00,880.00,855.20,873.15,427400,424.67
2007-08-01,898.00,898.00,852.65,862.95,1868100,419.709
2007-07-31,895.00,908.00,880.00,903.45,318100,439.407
2007-07-30,899.90,901.95,875.00,892.15,427100,433.911
2007-07-27,912.20,912.20,888.00,892.35,656200,434.008
2007-07-26,945.25,960.00,913.90,925.25,1477000,450.01
2007-07-25,930.00,954.65,921.60,946.80,488500,460.491
2007-07-24,949.00,956.00,925.00,932.15,408500,453.366
2007-07-23,929.00,948.00,918.00,940.95,327500,457.646
2007-07-20,905.00,943.00,905.00,922.95,1185400,448.891
2007-07-19,889.90,902.00,885.80,895.85,1218300,435.711
2007-07-18,866.00,894.40,858.00,883.10,461800,429.51
2007-07-17,882.90,887.00,860.00,863.30,372000,419.88
2007-07-16,889.90,892.00,875.00,877.50,223900,426.786
2007-07-13,884.90,893.00,877.45,880.75,815500,428.367
