Date,Open,High,Low,Close,Volume,Diff,Gain,Loss,Avg. Gain,Avg. Loss,RS,1+RS,RSI_day_14,SMA_50,SMA_25
16-Nov-15,715.6,729.49,711.33,728.96,1905893,13.36,13.36,0,3.1242857143,-1.6,1.9526785714,2.9526785714,66.1324463261,660.6104,696.8812
13-Nov-15,729.17,731.15,716.73,717,2075504,-12.17,0,-12.17,3.9264285714,-0.7307142857,5.3734115347,6.3734115347,84.3098159508,658.3954,693.9456
12-Nov-15,731,737.8,728.64,731.23,1837154,0.23,0.23,0,3.91,-2.5521428571,1.5320458998,2.5320458998,60.5062451641,656.0576,690.2628
11-Nov-15,732.46,741,730.23,735.4,1366995,2.94,2.94,0,4.0635714286,-2.5521428571,1.5922194235,2.5922194235,61.4230187866,653.3054,686.5412
10-Nov-15,724.4,730.59,718.5,728.32,1607994,3.92,3.92,0,3.7835714286,-3.3764285714,1.1205838798,2.1205838798,52.8431763769,651.104,683.226
9-Nov-15,730.2,734.71,719.43,724.89,2069807,-5.31,0,-5.31,3.7835714286,-3.98,0.9506460876,1.9506460876,48.7349342168,649.2138,679.8892
6-Nov-15,731.5,735.41,727.01,733.76,1511599,2.26,2.26,0,3.9735714286,-3.98,0.9983847811,1.9983847811,49.9595868884,647.2908,675.6152
5-Nov-15,729.47,739.48,729.47,731.25,1861550,1.78,1.78,0,3.8464285714,-4.1164285714,0.9344091619,1.9344091619,48.3046286328,645.2382,670.8168
4-Nov-15,722,733.1,721.9,728.11,1706700,6.11,6.11,0,3.9157142857,-4.1164285714,0.9512406733,1.9512406733,48.7505558025,642.3172,666.0292
3-Nov-15,718.86,724.65,714.72,722.16,1565379,3.3,3.3,0,3.68,-4.2628571429,0.8632707775,1.8632707775,46.3309352518,639.6662,660.9416
2-Nov-15,711.06,721.62,705.85,721.11,1886250,10.05,10.05,0,3.6157142857,-4.2628571429,0.8481903485,1.8481903485,45.8930190389,637.4936,655.8928
30-Oct-15,715.73,718,710.05,710.81,1908774,-4.92,0,-4.92,3.9428571429,-3.9114285714,1.0080350621,2.0080350621,50.200072754,636.214,651.9392
29-Oct-15,710.5,718.26,710.01,716.92,1454128,6.42,6.42,0,3.7421428571,-3.9114285714,0.9567202337,1.9567202337,48.8940737281,635.0936,648.2944
28-Oct-15,707.33,712.98,703.08,712.95,2176623,5.62,5.62,0,3.3407142857,-4.0685714286,0.8211025281,1.8211025281,45.0882097753,633.9572,644.6708
27-Oct-15,707.38,713.62,704.55,708.49,2224309,1.11,1.11,0,3.2614285714,-4.56,0.7152255639,1.7152255639,41.6986301368,633.0048,641.2388
26-Oct-15,701.55,719.15,701.26,712.78,2701629,11.23,11.23,0,2.9307142857,-4.56,0.6427005013,1.6427005013,39.1246304948,631.8916,638.1452
23-Oct-15,727.5,730,701.5,702,6642504,-25.5,0,-25.5,3.6071428571,-2.7385714286,1.3171622326,2.3171622326,56.8437640699,630.9806,635.2352
22-Oct-15,646.7,657.8,644.01,651.79,3782103,5.09,5.09,0,4.6514285714,-2.7385714286,1.6984872196,2.6984872196,62.9421998839,631.136,634.8796
21-Oct-15,654.15,655.87,641.73,642.61,1791099,-11.54,0,-11.54,4.86,-1.9142857143,2.5388059701,3.5388059701,71.7418810628,631.4994,634.6144
20-Oct-15,664.04,664.72,644.2,650.28,2490016,-13.76,0,-13.76,5.2271428571,-0.9314285714,5.6119631901,6.6119631901,84.8758988633,631.1684,634.0088
19-Oct-15,661.18,666.82,659.58,666.1,1465339,4.92,4.92,0,4.8757142857,-1.0964285714,4.4469055374,5.4469055374,81.6409520392,630.5524,632.2944
16-Oct-15,664.11,664.97,657.2,662.2,1606138,-1.91,0,-1.91,4.8757142857,-2.0635714286,2.3627552786,3.3627552786,70.2624806999,630.162,630.8372
15-Oct-15,654.66,663.13,654.46,661.74,1830524,7.08,7.08,0,4.37,-3.335,1.3103448276,2.3103448276,56.7164179104,629.8028,629.2216
14-Oct-15,653.21,659.39,648.85,651.16,1412040,-2.05,0,-2.05,5.0242857143,-3.1885714286,1.5757168459,2.5757168459,61.1758566708,629.3646,627.684
13-Oct-15,643.15,657.81,643.15,652.3,1790704,9.15,9.15,0,4.3928571429,-3.1885714286,1.3776881721,2.3776881721,57.9423403055,628.9428,626.1784
12-Oct-15,642.09,648.5,639.01,646.67,1275206,4.58,4.58,0,4.0657142857,-3.4964285714,1.1628192033,2.1628192033,53.7640502502,628.5216,624.3396
9-Oct-15,640,645.99,635.32,643.61,1645844,3.61,3.61,0,3.8821428571,-3.4964285714,1.1103166496,2.1103166496,52.6137463695,628.3012,622.8452
8-Oct-15,641.36,644.45,625.56,639.16,2180441,-2.2,0,-2.2,3.8821428571,-3.8778571429,1.0011051759,2.0011051759,50.0276141382,628.1566,621.8524
7-Oct-15,649.24,650.61,632.15,642.36,2089776,-6.88,0,-6.88,4.2471428571,-3.3864285714,1.2541657878,2.2541657878,55.6376906519,627.8694,620.0696
6-Oct-15,638.84,649.25,636.53,645.44,2166264,6.6,6.6,0,3.8121428571,-3.3864285714,1.1257118751,2.1257118751,52.9569358997,627.5058,618.982
5-Oct-15,632,643.01,627,641.47,1787880,9.47,9.47,0,3.7385714286,-3.3864285714,1.1039865007,2.1039865007,52.4711779451,627.1476,618.5384
2-Oct-15,607.2,627.34,603.13,626.91,2684805,19.71,19.71,0,2.3307142857,-3.5621428571,0.6543011831,1.6543011831,39.5515151514,627.495,618.9664
